documentId,pageNumber,tableId,row,left_content,right_content,left_confidence,right_confidence
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,140,289.,0.984,0.9658333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,49,136,0.9963333333333332,0.9255
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,160,71,0.9952,0.9966666666666668
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,6,148,108,0.992,0.9895
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,7,6,150,0.996,0.9617272727272728
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,7,137,270,0.949076923076923,0.933375
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,7,50,136,0.9823333333333334,0.9255
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,7,162,72,0.9965,0.991
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,7,138,276,0.951375,0.9461428571428572
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,7,139,0.996,0.9319090909090908
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,220,29,0.9785,0.996
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,140,322,0.984,0.9922
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,51,177,0.995,0.9576999999999998
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,151,73,0.9788333333333332,0.9956666666666668
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,8,134,253,0.9599230769230768,0.9945
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,8,150,0.996,0.9617272727272728
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,329,30,0.9865,0.9955
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,135,155,0.990375,0.9828333333333332
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,52,177,0.9963333333333332,0.9576999999999998
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,152,74,0.99,0.9966666666666666
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,9,134,254,0.9599230769230768,0.979
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,10,9,50,0.995,0.9823333333333334
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,10,328,31,0.9938333333333332,0.9946666666666668
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,10,137,282,0.949076923076923,0.9955
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,10,53,137,0.99525,0.949076923076923
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,1,1,10,222,75,0.991,0.9956666666666668
