FULL_PD,SEQUENCE_NUMBER,FULL_PD_cleaned,SEQUENCE_NUMBER_cleaned,ED_CODE,DocumentID,Filename,Riding,Status,Page,Table,PD_confidence,SEQ_confidence,PD_status,SEQ_status,PD_image_url,SEQ_image_url
132,200,132,200,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.97275,0.99775,approved,approved,,
140,160,140,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.8885000000000001,0.9796666666666667,needs_review,approved,,
177,SIS,177,,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9797692307692307,0.452,approved,needs_review,,
177,397,177,397,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9797692307692307,0.9876666666666667,approved,approved,,
138,253.,138,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9874444444444445,0.9820000000000001,approved,approved,,
173,160,173,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9788333333333333,0.9796666666666667,approved,approved,,
139,69,139,69,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.982857142857143,0.9926666666666666,approved,approved,,
139,70,139,70,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.982857142857143,0.911,approved,approved,,
176,"377,",176,377,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9074285714285714,approved,approved,,
148,306,148,306,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.98625,approved,approved,,
148,307,148,307,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.9944,approved,approved,,
1.34,15.,134,15,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.96275,0.97075,approved,approved,,
134,14,134,14,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9578666666666666,0.8641428571428571,approved,needs_review,,
148,196,148,196,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.9766,approved,approved,,
176,233,176,233,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9955,approved,approved,,
176,234,176,234,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9610000000000001,approved,approved,,
