DocumentId,Riding,PageNumber,TableIndex,FULL_PD,FULL_PD_cleaned,SEQUENCE_NUMBER,SEQUENCE_NUMBER_cleaned,ED_CODE
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,134,134,14,14,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,148,148,196,196,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,176,176,233,233,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,176,176,234,234,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,132,132,23,23,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,150,150,389,389,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,176,176,341,341,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,171,171,29,29,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,171,171,38.,38,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,15/,15,202,202,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,255,255,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,256,256,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,254.,254,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,182,182,285,285,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,180,180,356,356,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,179,179,347,347,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,179,179,217,217,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,182,182,268,268,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,151,151,3,3,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,172,172,420,420,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,106,106,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,107,107,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,196,196,108,108,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,179,179,386,386,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,195,195,101,101,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,147,147,360:,360,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,170,170,228,228,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,3,1,170,170,229,229,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,185,185,268,268,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,548,548,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,549,549,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,430,430,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,431,431,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,143,143,258.,258,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,185,185,95,95,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,142,142,205,205,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,142,142,207,207,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,550,550,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,166,166,267,267,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,163,163,465,465,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,163,163,464,464,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,155,155,218,218,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,155,155,219,219,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,155,155,226,226,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,163,163,25,25,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,163,163,28,28,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,142,142,186,186,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,142,142,396,396,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,166,166,93,93,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,4,1,157,157,264,264,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,145 -,145,392,392,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,157,157,316,316,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,157,157,3/7/317,37317,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,163,163,15.9,159,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,156,156,36,36,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,143,143,383,383,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,143,143,334,334,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,146,146,84,84,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,5,1,146,146,33,33,35023
