id,documentId,pageNumber,tableId,row,column,content,originalContent,cleanedContent,confidence,status,reviewerId,reviewedAt,updatedAt,_rid,_self,_etag,_attachments,_ts,blobName,riding
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col2,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,2,350,350,350,0.9947142857142856,approved,,,2025-04-28T11:52:25Z,6ookALMJiOLnDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLnDAAAAAAAAA==/,"""0000c71f-0000-0a00-0000-680f6bf90000""",attachments/,1745841145,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col3,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,3,34,34,34,0.9898,approved,,,2025-04-28T11:52:25Z,6ookALMJiOLoDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLoDAAAAAAAAA==/,"""0000c81f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col4,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,4,169,169,169,0.8856923076923078,needs_review,,,2025-04-28T11:52:25Z,6ookALMJiOLpDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLpDAAAAAAAAA==/,"""0000c91f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col5,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,5,212,212,212,0.8377777777777778,needs_review,,,2025-04-28T11:52:25Z,6ookALMJiOLqDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLqDAAAAAAAAA==/,"""0000ca1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col6,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,6,56,56,56,0.9886666666666667,approved,,,2025-04-28T11:52:25Z,6ookALMJiOLrDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLrDAAAAAAAAA==/,"""0000cb1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col7,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,7,172,172,172,0.8885714285714286,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOLsDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLsDAAAAAAAAA==/,"""0000cc1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row13_col8,563d4203-d626-4626-9f14-83dba55738ef,3,1,13,8,420,420,420,0.9798,approved,,,2025-04-28T11:52:26Z,6ookALMJiOLtDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLtDAAAAAAAAA==/,"""0000cd1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col0,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,0,13,13,13,0.8443333333333334,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOLuDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLuDAAAAAAAAA==/,"""0000ce1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col1,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,1,172,172,172,0.8885714285714286,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOLvDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLvDAAAAAAAAA==/,"""0000cf1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col2,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,2,155,155,155,0.8323333333333333,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOLwDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLwDAAAAAAAAA==/,"""0000d01f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col3,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,3,35,35,35,0.9966000000000002,approved,,,2025-04-28T11:52:26Z,6ookALMJiOLxDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLxDAAAAAAAAA==/,"""0000d11f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col4,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,4,149,149,149,0.8654285714285713,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOLyDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLyDAAAAAAAAA==/,"""0000d21f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col5,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,5,209,209,209,0.9837499999999999,approved,,,2025-04-28T11:52:26Z,6ookALMJiOLzDAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOLzDAAAAAAAAA==/,"""0000d31f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col6,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,6,57,57,57,0.9964999999999999,approved,,,2025-04-28T11:52:26Z,6ookALMJiOL0DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL0DAAAAAAAAA==/,"""0000d41f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col7,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,7,196,196,196,0.9058235294117646,approved,,,2025-04-28T11:52:26Z,6ookALMJiOL1DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL1DAAAAAAAAA==/,"""0000d51f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row14_col8,563d4203-d626-4626-9f14-83dba55738ef,3,1,14,8,106,106,106,0.8404444444444444,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL2DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL2DAAAAAAAAA==/,"""0000d61f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col0,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,0,14,14,14,0.7954285714285714,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL3DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL3DAAAAAAAAA==/,"""0000d71f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col1,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,1,172,172,172,0.8885714285714286,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL4DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL4DAAAAAAAAA==/,"""0000d81f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col2,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,2,154,154,154,0.8524999999999998,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL5DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL5DAAAAAAAAA==/,"""0000d91f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col3,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,3,36,36,36,0.9924,approved,,,2025-04-28T11:52:26Z,6ookALMJiOL6DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL6DAAAAAAAAA==/,"""0000da1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col4,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,4,149,149,149,0.8654285714285713,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL7DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL7DAAAAAAAAA==/,"""0000db1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col5,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,5,210,210,210,0.8335000000000001,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL8DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL8DAAAAAAAAA==/,"""0000dc1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
