FULL_PD,SEQUENCE_NUMBER,FULL_PD_cleaned,SEQUENCE_NUMBER_cleaned,ED_CODE,id,documentId,pageNumber,tableIndex,_rid,_self,_etag,_attachments,_ts,riding
140,160,140,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair4,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIbAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIbAAAAAAAAAA==/,"""0200a6a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
177,SIS,177,,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair5,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIcAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIcAAAAAAAAAA==/,"""0200a7a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
177,397,177,397,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair6,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIdAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIdAAAAAAAAAA==/,"""0200a8a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
138,253.,138,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair7,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIeAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIeAAAAAAAAAA==/,"""0200a9a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
173,160,173,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair8,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIfAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIfAAAAAAAAAA==/,"""0200aaa6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
139,69,139,69,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair9,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIgAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIgAAAAAAAAAA==/,"""0200aba6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
139,70,139,70,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair10,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIhAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIhAAAAAAAAAA==/,"""0200aca6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
176,"377,",176,377,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair11,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIiAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIiAAAAAAAAAA==/,"""0200ada6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
148,306,148,306,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair12,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIjAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIjAAAAAAAAAA==/,"""0200aea6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
148,307,148,307,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair13,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIkAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIkAAAAAAAAAA==/,"""0200afa6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
1.34,15.,134,15,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair14,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIlAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIlAAAAAAAAAA==/,"""0200b0a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
134,14,134,14,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair15,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lImAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lImAAAAAAAAAA==/,"""0200b1a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
148,196,148,196,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair16,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lInAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lInAAAAAAAAAA==/,"""0200b2a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
176,233,176,233,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair17,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIoAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIoAAAAAAAAAA==/,"""0200b3a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
176,234,176,234,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair18,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIpAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIpAAAAAAAAAA==/,"""0200b4a6-0000-0a00-0000-680f582f0000""",attachments/,1745836079,
132,23,132,23,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair19,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIqAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIqAAAAAAAAAA==/,"""0200b5a6-0000-0a00-0000-680f58300000""",attachments/,1745836080,
150,389,150,389,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair20,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIrAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIrAAAAAAAAAA==/,"""0200b6a6-0000-0a00-0000-680f58300000""",attachments/,1745836080,
176,341,176,341,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page2_table1_pair21,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,2,1,6ookAOo23lIsAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIsAAAAAAAAAA==/,"""0200b7a6-0000-0a00-0000-680f58300000""",attachments/,1745836080,
171,29,171,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair0,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lItAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lItAAAAAAAAAA==/,"""0200baa6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
171,38.,171,38,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair1,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIuAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIuAAAAAAAAAA==/,"""0200bba6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
15/,202,15,202,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair2,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIvAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIvAAAAAAAAAA==/,"""0200bca6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,255,196,255,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair3,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIwAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIwAAAAAAAAAA==/,"""0200bda6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,256,196,256,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair4,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIxAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIxAAAAAAAAAA==/,"""0200bea6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,254.,196,254,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair5,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIyAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIyAAAAAAAAAA==/,"""0200bfa6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
182,285,182,285,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair6,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lIzAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lIzAAAAAAAAAA==/,"""0200c0a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
180,356,180,356,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair7,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI0AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI0AAAAAAAAAA==/,"""0200c1a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
179,347,179,347,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair8,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI1AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI1AAAAAAAAAA==/,"""0200c2a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
179,217,179,217,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair9,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI2AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI2AAAAAAAAAA==/,"""0200c3a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
182,268,182,268,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair10,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI3AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI3AAAAAAAAAA==/,"""0200c4a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
151,3,151,3,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair11,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI4AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI4AAAAAAAAAA==/,"""0200c5a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
172,420,172,420,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair12,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI5AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI5AAAAAAAAAA==/,"""0200c6a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,106,196,106,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair13,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI6AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI6AAAAAAAAAA==/,"""0200c7a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,107,196,107,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair14,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI7AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI7AAAAAAAAAA==/,"""0200c8a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
196,108,196,108,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair15,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI8AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI8AAAAAAAAAA==/,"""0200c9a6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
179,386,179,386,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair16,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI9AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI9AAAAAAAAAA==/,"""0200caa6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
195,101,195,101,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair17,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI+AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI+AAAAAAAAAA==/,"""0200cba6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
147,360:,147,360,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair18,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lI-AAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lI-AAAAAAAAAA==/,"""0200cca6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
170,228,170,228,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair19,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lJAAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lJAAAAAAAAAAA==/,"""0200cda6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
170,229,170,229,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028_page3_table1_pair20,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,3,1,6ookAOo23lJBAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAOo23lI=/docs/6ookAOo23lJBAAAAAAAAAA==/,"""0200cea6-0000-0a00-0000-680f583a0000""",attachments/,1745836090,
