document_id,blob_name,page_number,table_index,row_index,column_index,content,confidence
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,2,30,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,5,55,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,1,77,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,2,31,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,5,56,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,7,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,1,78,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,2,32,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,5,57,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,8,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,1,79,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,2,33,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,5,58,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,9,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,1,89,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,2,34,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,5,59,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,10,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,1,283,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,2,35,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,5,60,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,11,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,2,36,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,5,61,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,12,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,2,37,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,4,62,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,13,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,2,38,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,5,63,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,14,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,2,39,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,5,64,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,15,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,2,40,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,5,65,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,16,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,2,41,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,5,66,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,17,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,2,42,
